wqr003029	factoid	what movie queen latifah play in?	Taxi|Jungle Fever|Set It Off|Stranger than Fiction|Last Holiday|Brown Sugar|Ice Age\: The Meltdown|Ice Age\: Dawn of the Dinosaurs|Hairspray|Bringing Down the House
wqr003052	factoid	who plays hermione granger?	Emma Watson
wqr003063	factoid	who plays jason gideon?	Mandy Patinkin
wqr003070	factoid	who played george jefferson on all in the family?	Sherman Hemsley
wqr003086	factoid	what did kellie martin play on?	A Friend to Die For|All You Need|Matinee|On the Edge of Innocence|A Goofy Movie|Mystery Woman\: Mystery Weekend|Mystery Woman\: Snapshot|After the Silence|Thru the Moebius Strip|Live Once\, Die Twice
wqr003106	factoid	who played lt uhura?	Nichelle Nichols
wqr003120	factoid	who plays harold saxon in doctor who?	Roger Delgado
wqr003142	factoid	who did bryce dallas howard play in eclipse?	Victoria
wqr003198	factoid	what movies has selena gomez starred in?	Arthur 3\: The War of the Two Worlds|Monte Carlo|Spy Kids 3\-D\: Game Over|Wizards of Waverly Place\: The Movie|Arthur and the Invisibles\: The New Minimoy Adventures|Ramona and Beezus|Another Cinderella Story|Horton Hears a Who\!|Arthur and the Vengeance of Maltazard|Princess Protection Program
wqr003202	factoid	who played freddy in friday the 13th?	Chason Schirmer|Tobe Sexton|Robert Englund
wqr003206	factoid	what movies has angelina jolie in?	Beowulf|Cleopatra|A Mighty Heart|Changeling|Confessions of an Action Star|Celebrity News Reels\: Hollywood\'s Most Infamous Couples and Ugliest Breakups|Beyond Borders|Alice \& Viril|Angela \& Viril|Alexander
wqr003212	factoid	what movies did jenna dewan play in?	The Grudge 2|Step Up|Take the Lead|Balls to the Wall|Fab Five\: The Texas Cheerleader Scandal|Waterborne|American Virgin|Love Lies Bleeding|Tamara|Slightly Single in L\.A\.
wqr003222	factoid	what movies did taylor lautner star in?	The Twilight Saga
wqr003226	factoid	who plays sarah marshall?	Kristen Bell
wqr003230	factoid	who plays marlo on the wire?	Jamie Hector
wqr003232	factoid	who was the first actor to play edward quartermaine?	David Lewis
wqr003249	factoid	what show does tamera mowry play on?	Sister\, Sister|Tia \& Tamera|Detention|Strong Medicine|Roommates|The Look for Less|The Adventures of Hyperman
wqr003266	factoid	what movies did angelina jolie star in?	Beowulf|Cleopatra|A Mighty Heart|Changeling|Confessions of an Action Star|Celebrity News Reels\: Hollywood\'s Most Infamous Couples and Ugliest Breakups|Beyond Borders|Alice \& Viril|Angela \& Viril|Alexander
wqr003273	factoid	who plays kenneth on 30 rock?	Jack McBrayer
wqr003282	factoid	who played howard stern in private parts?	Him/Herself
wqr003306	factoid	who plays patrick jane wife?	Bruno Heller
wqr003319	factoid	who played dorothy in the film wizard of oz?	Aileen Quinn|Morgan Hallet|Lea Michele|Diana Ross|Sumi Shimamoto|Jill Small|Romola Remus|Fairuza Balk|Bebe Daniels|Judy Garland
wqr003324	factoid	who plays jim halpert?	John Krasinski
wqr003334	factoid	who voices ray in archer?	Adam Reed
wqr003337	factoid	who plays edward elric?	Romi Park
wqr003339	factoid	who plays lola bunny on the looney tunes show?	Britt McKillip|Kath Soucie
wqr003348	factoid	what characters does todd haberkorn voice?	Death the Kid|Android 19
wqr003357	factoid	what albums did john frusciante play on?	Curtains|Smile From the Streets You Hold|Going Inside EP|From the Sounds Inside|Niandra LaDes and Usually Just a T\-Shirt|DC EP|Inside of Emptiness|To Record Only Water for Ten Days|Shadows Collide With People|Demo \& Acoustic Shadows Collide With People
wqr003362	factoid	what role did frederick douglass play in the abolition movement?	American Equal Rights Association
wqr003368	factoid	who plays bella on twilight?	Kristen Stewart
wqr003374	factoid	who does paul walker play in fast and furious?	Brian O\'Conner
wqr003387	factoid	who plays tommy oliver in power rangers?	Jason David Frank
wqr003400	factoid	who plays stewie griffin on family guy?	Seth MacFarlane
wqr003405	factoid	who plays stewie griffin's voice?	Seth MacFarlane
wqr003417	factoid	who played marty mcfly's dad?	George McFly
wqr003423	factoid	who plays john connor in terminator salvation?	Christian Bale
wqr003433	factoid	who plays the voice of meg in family guy?	Lacey Chabert|Mila Kunis
wqr003438	factoid	who played the parents in ferris bueller day off?	Cindy Pickett
wqr003459	factoid	what movies have gerard butler been in?	Attila|Beowulf \& Grendel|300|Dear Frankie|Butterfly on a Wheel|Gamer|Fast Food|Dracula 2000|Coriolanus
wqr003465	factoid	what movies were michael clarke duncan?	American Crude|Air Buddies|A Crush on You|Brother Bear|Back in Business|A Night at the Roxbury|Breakfast of Champions|Bulworth|Armageddon|Brother Bear 2
wqr003471	factoid	where do the baltimore ravens play?	M\&T Bank Stadium
wqr003477	factoid	who plays mary jane in spiderman 2?	Kirsten Dunst
wqr003483	factoid	who are the players on the toronto maple leafs?	Phil Kessel
wqr003500	factoid	who was the voice of simba?	Matthew Broderick
wqr003505	factoid	who did james franco play on general hospital?	Franco
wqr003507	factoid	who plays saruman in lord of the rings?	Christopher Lee
wqr003524	factoid	what movies gerard butler in?	Attila|Beowulf \& Grendel|300|Dear Frankie|Butterfly on a Wheel|Gamer|Fast Food|Dracula 2000|Coriolanus
wqr003529	factoid	what other movies is liam hemsworth in?	Knowing|Triangle|The Hunger Games|The Expendables 2|The Last Song|Timeless|Empire State|The Hunger Games\: Catching Fire|Arabian Nights|Love and Honor
wqr003533	factoid	who was luke skywalker played by?	Mark Hamill
wqr003535	factoid	who does the voice of kovu in lion king?	Jason Marsden
wqr003556	factoid	what band did joe satriani play in?	Greg Kihn Band|Deep Purple|Chickenfoot|The G3 Jam
wqr003564	factoid	what does the soviet star represent?	Communist Party of the Soviet Union
wqr003566	factoid	who plays shao kahn?	Frank Welker
wqr003569	factoid	who plays marvin eriksen?	Jason Segel
wqr003573	factoid	what does chad michael murray play in?	Renee|Megiddo\: The Omega Code 2|House of Wax|The Lone Ranger|Home of the Brave|A Cinderella Story|The Haunting in Connecticut 2\: Ghosts of Georgia|Lies in Plain Sight|Freaky Friday
wqr003593	factoid	who plays kermit in the muppets movie?	Jim Henson
wqr003599	factoid	what games do japanese people play?	The Legend of Zelda|3D Dot Game Heroes|Akuma\-kun\: Makai no Wana|Atsui 12 Game\: Furi Furi Party\!|11eyes CrossOver|11eyes\: Tsumi to Batsu to Aganai no Sh\ōjo|Military Madness|The Legend of Zelda\: Twilight Princess|Cosmic Walker
wqr003627	factoid	what other movies has liam hemsworth?	Knowing|Triangle|The Hunger Games|The Expendables 2|The Last Song|Timeless|Empire State|The Hunger Games\: Catching Fire|Arabian Nights|Love and Honor
wqr003637	factoid	who plays sam in anger management?	Jared Padalecki
wqr003658	factoid	what did john williams play?	Trombone|Piano|trumpet|clarinet
wqr003677	factoid	where did james franco study acting?	University of California\, Los Angeles|University of Houston|Brooklyn College|Columbia University School of the Arts|Rhode Island School of Design|Warren Wilson College|Yale University|Tisch School of the Arts|Palo Alto High School
wqr003699	factoid	who plays riley finn on buffy the vampire slayer?	Marc Blucas
wqr003701	factoid	who plays giles in buffy the vampire slayer?	Anthony Stewart Head
wqr003702	factoid	who voices lola bunny in looney tunes?	Britt McKillip|Kristen Wiig
wqr003704	factoid	who voices anakin in the clone wars?	Matt Lanter
wqr003706	factoid	who plays faramir in lord of the rings?	David Wenham
wqr003738	factoid	what films did michael clarke duncan star in?	American Crude|Air Buddies|A Crush on You|Brother Bear|Back in Business|A Night at the Roxbury|Breakfast of Champions|Bulworth|Armageddon|Brother Bear 2
wqr003760	factoid	what movie is angelina jolie directing?	In the Land of Blood and Honey
wqr003767	factoid	what movies did kristen stewart act in?	New Moon|Eclipse|The Runaways|Into the Wild|Adventureland|Twilight
syn000000	factoid	who is the star in The Shawshank Redemption?	Michael Lightsey|James Whitmore|Renee Blaine|James Kisicki|Alan R\. Kessler|Claire Slemmer|Dennis Baker|Fred Culbertson|Alonzo F\. Jones|Brad Spencer|James Babson|Richard Doone|Rita Hayworth|John R\. Woodward|Clancy Brown|Alfonso Freeman|Scott Mann|Tim Robbins|Brian Brophy|Eugene C\. DePasquale|Don McManus|Bob Gunton|Neil Giuntoli|Dion Anderson|Donald Zinn|William Sadler|Morgan Freeman|Paul McCrane|Neil Summers|Jeffrey DeMunn|Larry Brandenburg|Joseph Ragno|Mark Rolston|Morgan Lund|Dana Snyder|Ken Magee|Frank Medrano|Rohn Thomas|John E\. Summers|Ron Newell|Joe Pecoraro|Rob Reider|Cornell Wallace|Paul Kennedy|V\.J\. Foster|Brian Delate|Charlie Kearns|Gary Lee Davis|Gil Bellows|Robert Haley|Jude Ciccolella|Ned Bellamy|Chuck Brauchler|Brian Libby|Harold E\. Cope Jr\.|Dorothy Silver|David Proval|Bill Bolender|Mack Miles|John D\. Craig|John Horton|Gordon Greene
syn000007	factoid	who performed the cinematography of The Shawshank Redemption?	Roger Deakins
syn000019	factoid	How big was the budget of The Shawshank Redemption?	25000000\.0
syn000036	factoid	who is the director of The Godfather?	Francis Ford Coppola
syn000043	factoid	who made the music for The Godfather?	Nino Rota
syn000051	factoid	What was the shooting location of The Godfather?	New York City|Staten Island|Bellevue Hospital Center|St\. Patrick\'s Old Cathedral|New York Eye and Ear Infirmary of Mount Sinai
syn000068	factoid	who wrote the script for The Godfather: Part II?	Mario Puzo|Francis Ford Coppola
syn000075	factoid	who wrote the soundtrack for The Godfather: Part II?	Nino Rota|Carmine Coppola
syn000083	factoid	What was the filming location of The Godfather: Part II?	New York City
syn000100	factoid	who stars in The Dark Knight?	Natalie Hallam|Craig Heaney|Michelle Shields|Keith Szarabajka|Joshua Harto|Kevin Zaideman|Sofiya Smirnova|Anthony Michael Hall|Michael Vieau|Essa Zahir|Daryl Satcher|Don Kress|Mike Bach|Tommy Campbell|Will Jones|Libby Pedersen|Tristan Tait|Darren Elliot Fulsher|Charlie Kierscht|Chris Wilson|Joseph Luis Caballero|Tracy L\. Aldaz|Heath Ledger|Bruce Spielbauer|Jennifer Knox|Wai Wong|Joseph Lazicki|Gertrude Mosley|Debbi Burns|Sara Ritz|Wayne Baker|John Snowden|Jeff Albertson|Marisol Giraud|Ernest Pierce|Robert Patrick Stern|Robert Stone|Jordon Hodges|Maritza Cabrera|Matthew W\. Allen|Richard Divizio|Charles Query|Sal Ozbay|James Mellor|Jason Frederick|Dwight Sora|Joseph Mazurk|Jessica Cooper|Scott Ganyo|Tony Domino|J\.R\. Martino|Dan Latham|Bob Kaliebe|Bruce Allen Dawson|Tom McComas|Sharlene Grover|Mark Keiser|Timothy Glanfield|Blayne Bennett|Henry Milton Chu|Alexander Hathaway|Erik A\. Williams|John Thurner|Tim Krueger|Nicky Katt|Reese Foster|Buster Reeves|Shirin Caiola|Richard Strobel|Mike Whyte|Krista McEnany|Erron Jay|Matt Cho|Stephen Armourae|John Warman|Chris D\. Thomas|Amit Shah|John Turk|David Fultz|Gene Fojtik|Jon Lee Brody|Kelli Clevenger|Lisa Wolf|Michael Kuster|Marc Radz|Dan Gossen|Gary Ryder|Rory Plante|David William James Elliott|David Lesley|Jonathan Macchi|Tommy Bartlett|Deborah Lynn|John Hoving|Greg Schweiner|Tom Townsend|Danielle Day|Vivek Shah|January Stern|Daniel Jefferson|Bill Ibrahim|Ramses Jimenez|Lynn Noelle|Joe Nelson|Martin Ballantyne|Jan Seybold|Chuen Tsou|Peter Rnic|Thomas Kosik|Ivan Lovegren|Elisa Schleef|Laura Chernicky|Lorea Solabarrieta|David Dastmalchian|Melinda McGraw|James Farruggio|Chris Petschler|Erik Hellman|Thomas Gaitsch|Paul Birchard|Chin Han|Adam Kalesperis|Vincenzo Nicoli|William Fichtner|Patrick Leahy|Michael Jai White|Olumiji Aina Olawumi|K\. Todd Freeman|Walter Lewis|Doug Ballard|Helene Wilson|Jonathan Ryland|Eric Roberts|Ian Pirie|Winston Ellis|Michael Caine|Matthew Leitch|Patrick Clear|Dale Rivera|Colin McFarlane|Ron Dean|Grahame Edwards|Peter Defaria|David Ajala|Sam Derence|Morgan Freeman|Greg Beam|Gary Oldman|Bronson Webb|Lisa McAllister|Nestor Carbonell|Will Zahrn|Lateef Lovejoy|Joshua Rollins|Nathan Gamble|William Smillie|Monique Gabriela Curnen|Michael Stoyanov|Ronan Summers|James Scales|Nydia Rodriguez Terracina|Beatrice Rosen|Edison Chen|Michael Corey Foster|Nigel Carrington|Peter Brooke|William Armstrong|Sophia Hinshelwood|Tom McElroy|Christian Bale|Michael Andrew Gorman|Ariyon Bakare|Vincent Riotta|Philip Bulcock|Aidan Feore|Matthew O\'Neill|Matt Rippy|James Fierro|Lanny Lutz|Lorna Gayle|Matt Shallenberger|Richard Dillane|Chucky Venn|Hannah Gunn|Tommy Lister|Sarah Jayne Dunn|Ritchie Coster|Brandon Lambdin|Aaron Eckhart|Keith Kupferer|Danny Goldring|Andy Luther|Nancy Crane|Cillian Murphy|Roger Monk|Andrew Bicknell|Maggie Gyllenhaal
syn000107	factoid	who did the casting in The Dark Knight?	John Papsidera
syn000115	factoid	Where was The Dark Knight made?	Hong Kong|Chicago|Los Angeles
syn000129	factoid	What is the rating of The Dark Knight	PG\-13 \(USA\)
syn000170	factoid	who is the producer of Schindler's List?	Steven Spielberg|Gerald R\. Molen|Branko Lustig
syn000179	factoid	What is the duration of Schindler's List?	193\.0|186\.0|195\.5|195\.0|185\.0
syn000195	factoid	What is the rating of Schindler's List	R \(USA\)
syn000203	factoid	who is the producer of Pulp Fiction?	Lawrence Bender
syn000213	factoid	Where was Pulp Fiction shot?	Los Angeles
syn000230	factoid	What is the distribution company of Pulp Fiction?	Miramax Home Entertainment|Miramax|FilmFlex
syn000238	factoid	who performed the cinematography of The Good, the Bad and the Ugly?	Tonino Delli Colli
syn000251	factoid	How much was the budget of The Good, the Bad and the Ugly?	1200000\.0
syn000268	factoid	Whose is The Lord of the Rings: The Return of the King?	Peter Jackson
syn000277	factoid	How long does The Lord of the Rings: The Return of the King last?	375\.0|210\.0|251\.0|263\.0|200\.0|250\.0|201\.0
syn000288	factoid	What gentre is The Lord of the Rings: The Return of the King?	Action Film|Fantasy|Adventure Film
syn000303	factoid	who was the art director for Fight Club?	Chris Gorak
syn000311	factoid	What is the duration of Fight Club?	139\.0|132\.0
syn000324	factoid	What kind a movie is Fight Club?	Drama
syn000340	factoid	who made the music for The Lord of the Rings: The Fellowship of the Ring?	Howard Shore
syn000352	factoid	How much did The Lord of the Rings: The Fellowship of the Ring make?	871530324\.0
syn000359	factoid	what was the release date of The Lord of the Rings: The Fellowship of the Ring?	2001\-12\-10
syn000376	factoid	How long does Star Wars: Episode V - The Empire Strikes Back last?	124\.0|127\.0
syn000383	factoid	How much was the budget of Star Wars: Episode V - The Empire Strikes Back?	18000000\.0
syn000392	factoid	what was the release date of Star Wars: Episode V - The Empire Strikes Back?	1980\-05\-17
syn000408	factoid	how long is Forrest Gump?	136\.0|141\.0|142\.0
syn000415	factoid	How big was the budget of Forrest Gump?	55000000\.0
syn000422	factoid	What kind of genre is Forrest Gump?	Comedy|Drama|Romantic comedy|Romance Film|Comedy\-drama|Epic film
syn000437	factoid	who did the casting in Inception?	John Papsidera
syn000449	factoid	How much was the budget of Inception?	160000000\.0
syn000456	factoid	What kind a movie is Inception?	Action Film|Thriller|Science Fiction|Mystery|Adventure Film
syn000471	factoid	who wrote the soundtrack for One Flew Over the Cuckoo's Nest?	Jack Nitzsche
syn000479	factoid	What was the filming location of One Flew Over the Cuckoo's Nest?	Salem|Oregon
syn000488	factoid	What kind of genre is One Flew Over the Cuckoo's Nest?	Drama
syn000504	factoid	who wrote the soundtrack for The Lord of the Rings: The Two Towers?	Howard Shore
syn000516	factoid	What was the budget for The Lord of the Rings: The Two Towers?	94000000\.0
syn000523	factoid	when was The Lord of the Rings: The Two Towers released?	2002\-12\-05
syn000538	factoid	who made the music for The Matrix?	Don Davis
syn000546	factoid	What was the shooting location of The Matrix?	Sydney|Alameda
syn000555	factoid	What kind a movie is The Matrix?	Action Film|Science Fiction|Adventure Film
syn000573	factoid	how long is Goodfellas?	146\.0|145\.0|148\.0
syn000580	factoid	How big was the budget of Goodfellas?	25000000\.0
syn000589	factoid	when was Goodfellas released?	1990\-09
syn000604	factoid	who made the music for Star Wars: Episode IV - A New Hope?	John Williams
syn000612	factoid	What was the shooting location of Star Wars: Episode IV - A New Hope?	Shepperton Studios|Mos Eisley Cantina|Elstree Studios|Nafta\, Tunisia|Tikal|Matmata\, Tunisia|Sidi Bouhlel
syn000619	factoid	What genre is Star Wars: Episode IV - A New Hope?	Action Film|Science Fiction|Fantasy|Adventure Film
syn000636	factoid	who wrote the soundtrack for Seven Samurai?	Fumio Hayasaka
syn000648	factoid	What was the budget for Seven Samurai?	500000\.0
syn000659	factoid	What is the distribution company of Seven Samurai?	Toho Co\.\, Ltd\.|Columbia Pictures
syn000707	factoid	What is the duration of Se7en?	128\.0|127\.0
syn000720	factoid	What kind a movie is Se7en?	Crime Fiction|Psychological thriller|Thriller|Mystery|Indie film|Film noir
syn000728	factoid	who wrote the script for The Silence of the Lambs?	Ted Tally
syn000747	factoid	What was the budget for The Silence of the Lambs?	19000000\.0
syn000756	factoid	What is the rating of The Silence of the Lambs	R \(USA\)
syn000764	factoid	who is the producer of The Usual Suspects?	Bryan Singer|Michael McDonnell
syn000779	factoid	How much was the budget of The Usual Suspects?	6000000\.0
syn000788	factoid	what was the release date of The Usual Suspects?	1994\-10
syn000796	factoid	Whose is It's a Wonderful Life?	Frank Capra
syn000818	factoid	What kind of genre is It's a Wonderful Life?	Drama|Family|Fantasy
syn000826	factoid	who stars in Life Is Beautiful?	Cristiana Porchiella|Giovanna Villa|Nicoletta Braschi|Lidia Alfonsi|Pietro De Silva|James Schindler|Alessandra Grassi|Omero Antonutti|Gil Baroni|Daniela Fedke|Raffaella Lebboroni|G\ünther Pfanzelter|Massimo Salvianti|Giustino Durano|Antonio Fommei|Amerigo Fontani|Aaron Craig|Verena Buratti|Ernst Frowein Holger|Claudio Alfonsi|Alfiero Falomi|Hannes Hellmann|Susanna Laura Ruedenberg|Ennio Consalvi|Francesco Guzzo|Franco Mescolini|Richard Sammel|Gina Rovere|Marisa Paredes|Antonio Prester|Maria Letizia|Carlotta Mangione|Francesca Messinese|Wolfgang Hillinger|Margarita Lucia Krauss|Horst Buchholz|Stefano Frangipani|Giorgio Cantarini|Sergio Bini Bustric|Andrea Tidona|Inger Lise Middelthon|Dirk van den Berg|Massimo Bianchi|Maria Rita Macellari|Giuliana Lojodice|Giancarlo Cosentino|Robert Camero|Patrizia Lazzarini|J\ürgen Bohn|Roberto Benigni|Concetta Lombardo|Andrea Nardi
syn000834	factoid	who wrote the soundtrack for Life Is Beautiful?	Nicola Piovani
syn000854	factoid	what was the release date of Life Is Beautiful?	1997\-12\-20
syn000895	factoid	Whose is Once Upon a Time in the West?	Sergio Leone
syn000904	factoid	How long does Once Upon a Time in the West last?	175\.0|145\.0|165\.0|137\.0|166\.0
syn000958	factoid	who stars in Spirited Away?	Yo Oizumi|Yasuko Sawaguchi|Takashi Nait\ō|Bunta Sugawara|Ryunosuke Kamiki|Mari Natsuki|Tatsuya Gashuin|Koba Hayashi|Miyu Irino|Yumi Tamai|Rumi Hiiragi
syn000966	factoid	who wrote the soundtrack for Spirited Away?	Joe Hisaishi
syn000978	factoid	What was the budget for Spirited Away?	1900000000\.0
syn000995	factoid	who is the producer of Saving Private Ryan?	Steven Spielberg|Gary Levinsohn|Ian Bryce|Mark Gordon
syn001003	factoid	How long does Saving Private Ryan last?	169\.0|170\.0
syn001016	factoid	What kind of genre is Saving Private Ryan?	Drama|Action Film|War film
syn001031	factoid	who did the casting in American History X?	Valerie McCaffrey
syn001043	factoid	How much was the budget of American History X?	10000000\.0
syn001052	factoid	what was the release date of American History X?	1998\-10\-30
syn001103	factoid	What is the duration of City Lights?	87\.0
syn001116	factoid	What kind a movie is City Lights?	Comedy|Drama|Romantic comedy|Romance Film|Silent film
syn001124	factoid	who wrote the script for Psycho?	Joseph Stefano
syn001139	factoid	What was the filming location of Psycho?	Phoenix|San Fernando Valley|Gorman
syn001148	factoid	What kind of genre is Psycho?	Horror|Thriller|Mystery|Slasher
syn001156	factoid	who stars in Raiders of the Lost Ark?	Malcolm Weaver|Sergio Mioni|Pat Roach|Don Fellows|Christopher Frederick|Fred Sorenson|Terry Leonard|Harrison Ford|Romo Gorrara|Nick Gillard|Harry Fielder|Dennis Muren|Rocky Taylor|Glenn Randall Jr\.|Peter Diamond|Darin Chambers|Vic Armstrong|Barrie Holland|George Harris|Martin Kreidt|Ronald Lacey|Tony Vogel|Bill Reimbold|Sonny Caldinez|Wolf Kahler|Terry Richards|Steve Hanson|Souad Messaoudi|Anthony Higgins|Patrick Durkin|Ted Grossman|Eddie Tagoe|Vic Tablian|Kiran Shah|Denholm Elliott|Alfred Molina|Frank Marshall|Paul Freeman|Karen Allen|William Hootkins|Matthew Scurfield|John Rees|John Rhys\-Davies|Anthony Chinn|Ishaq Bux|Tutte Lemkow|Frank Welker
syn001171	factoid	Where was Raiders of the Lost Ark made?	Kairouan|Elstree Studios|Sidi Bouhlel|Golden Gate Bridge|John Marshall High School
syn001180	factoid	What genre is Raiders of the Lost Ark?	Action Film|Adventure Film
syn001188	factoid	who is the star in Rear Window?	Havis Davenport|Benny Bartlett|Nick Borgani|Barbara Bailey|Charles Harvey|Jonni Paris|Len Hendry|Fred Graham|Anthony Warde|Sue Casey|Alan Lee|Alfred Hitchcock|Jerry Antes|Bess Flowers|Eddie Parker|Richard Simmons|James Cornell|Iphigenie Castiglioni|Mike Mahoney|Kathryn Crosby|Robert Sherman|Jack Stoney|Art Gilmore|Marla English|Don Dunning|Gig Young|Harry Landers|Ralph Smiley|Raymond Burr|Irene Winston|Ross Bagdasarian\, Sr\.|Jesslyn Fax|Wendell Corey|Grace Kelly|Rand Harper|Judith Evelyn|James Stewart|Thelma Ritter
syn001204	factoid	Where was Rear Window made?	New York City
syn001213	factoid	What genre is Rear Window?	Action Film|Thriller|Mystery
syn001254	factoid	who is the star in Modern Times?	Mira McKinney|Paulette Goddard|Henry Bergman|Murdock MacQuarrie|Al Ernest Garcia|Cecil Reynolds|Richard Alexander|Chester Conklin|Stanley Blystone|Charlie Chaplin|Edward LeSaint|Tiny Sandford|Hank Mann
syn001273	factoid	How big was the budget of Modern Times?	1500000\.0
syn001282	factoid	when was Modern Times released?	1936\-02\-05
syn001290	factoid	who is the director of The Green Mile?	Frank Darabont
syn001311	factoid	What gentre is The Green Mile?	Drama|Crime Fiction|Mystery|Fantasy
syn001319	factoid	What is the distribution company of The Green Mile?	Warner Bros\. Entertainment|Universal Studios|PolyGram Filmed Entertainment
syn001326	factoid	who was the art director for Terminator 2: Judgment Day?	Joseph P\. Lucky
syn001341	factoid	What was the budget for Terminator 2: Judgment Day?	100000000\.0
syn001350	factoid	What is the rating of Terminator 2: Judgment Day	R \(USA\)
syn001358	factoid	who is the producer of The Pianist?	Alain Sarde|Robert Benmussa|Roman Polanski
syn001379	factoid	What kind of genre is The Pianist?	Drama|Biographical film|Historical drama
syn001420	factoid	who stars in The Departed?	Martin Sheen|Gail Yudain|Michael Byron|Tony M\. Yee|Conor Donovan|Matt Damon|Takumi Bando|Steve Flynn|Conor Timmis|Vincent Bivona|Nicolas Quilter|David O\'Hara|Victor Chan|Ed Cuffe|Denece Ryland|Mackenzie Hawe|Frank Mallicoat|Stream|Dion Baia|Brendan Burke|Mark Hemphill|Buddy Dolan|John Wayland Somers|David Boston|Oliver Martin|Lorre Fritchy|James Michael Farrell|Jack McCullough|Jeffrey Corazzini|James P\. Anderson|Alfredo Suarez|Osmani Rodriguez|Trudi Goodman|Andrew Aninsman|Desiree April Connolly|Chris Chinn|Jim Evans|Lawrence Cameron Steele|Eric Bruno Borgman|Steve Scarfo|Shawn Fogarty|Shana Carr|Crystal Lisbon|Vic Clay|Donna Wong|Billy Silvia|Henry Kwan|Frank Mancuso|Robert Myers|Steve Lord|Tracey Brennan|Mark Rolston|Mary Klug|Nellie Sciutto|Armen Garo|John Cenatiempo|Anthony Anderson|Kevin P\. McCarthy|Dennis Lynch|Robert Wahlberg|Terry Serpico|Paris Karounos|Audrie J\. Neenan|Peg Holzemer|Larry Mitchell|Anthony Estrella|Radio Man|Paula DeMers|Zachary Pauliks|Alex Morris|Thomas B\. Duffy|Johnny Cicco|Peter Welch|Joseph P\. Reidy|Kristen Dalton|Billy Smith|John Polce|Bo Cleary|Shay Duffin|Ray Winstone|Jay Giannone|Brian Haley|David Conley|Mark Philip Patrick|Leonardo DiCaprio|Tom Kemp|Andrew Breving|Chris Fischer|John Rue|Kevin Corrigan|Dorothy Lyman|John Farrer|Sarah Fearon|Mark Wahlberg|Sallie Toussaint|David Fischer|Daniel F\. Risteen Jr\.|Robert Chan|Patrick Coppola|Walter Y\.F\. Wong|Mick O\'Rourke|Kenneth Stoddard|Paddy Curran|Joseph Riccobene|Francesca Scorsese|Alec Baldwin|Peter Crafts|William Lee|Tracey Paleo|William Severs|Jack Nicholson|Deborah Carlson|J\. C\. MacKenzie|Emma Tillinger|Gurdeep Singh|James Badge Dale|Vera Farmiga|Jill Brown|Henry Yuk|John McConnell|Douglas Crosby|Lyman Chen|Francis P\. Hughes|Chance Kelly|Amanda Lynch|Brian Smyj|Jeffrey Winter
syn001427	factoid	who did the casting in The Departed?	Ellen Lewis
syn001444	factoid	What genre is The Departed?	Drama|Crime Fiction|Thriller|Detective fiction
syn001452	factoid	who is the star in Back to the Future?	Cristen Kauffman|Richard L\. Duran|Marc McClure|Granville \'Danny\' Young|Gary Riley|Robert DeLapp|Harry Waters\, Jr\.|Janine King|Walter Scott|Tom Tangen|Charles L\. Campbell|Huey Lewis|Deborah Harmon|Karen Petrasek|Jason Marin|Katherine Britton|Crispin Glover|George Buck Flower|Jason Hervey|Norman Alden|J\. J\. Cohen|Thomas F\. Wilson|Robert Krantz|Johnny Green|David Harold Brown|Christopher Lloyd|Frances Lee McCain|Donald Fullilove|Elsa Raven|Billy Zane|Casey Siemaszko|James Tolkan|Michael J\. Fox|Lee Brownfield|Tommy Thomas|Will Hare|Wendie Jo Sperber|Lea Thompson|Ivy Bethune|George DiCenzo|Lisa Freeman|Maia Brewton|Jeff O\'Haco|Read Morgan|Sachi Parker|Lloyd Tolbert|Paul Hanson|Jamie Abbott|Claudia Wells|Courtney Gains
syn001459	factoid	who performed the cinematography of Back to the Future?	Dean Cundey
syn001476	factoid	What gentre is Back to the Future?	Comedy|Science Fiction|Family|Adventure Film
syn001484	factoid	What is the distribution company of Back to the Future?	Universal Pictures Home Entertainment|Universal Studios
syn001492	factoid	who performed the cinematography of Memento?	Wally Pfister
syn001509	factoid	What gentre is Memento?	Drama|Crime Fiction|Psychological thriller|Thriller|Mystery|Indie film|Crime Thriller|Film noir|Revenge
syn001517	factoid	What is the distribution company of Memento?	Entertainment One|Bontonfilm\, AS|Path\é|Newmarket Films|Summit Entertainment
syn001525	factoid	who performed the cinematography of Gladiator?	John Mathieson
syn001546	factoid	when was Gladiator released?	2000\-05\-01
syn001554	factoid	who is the director of Apocalypse Now?	Francis Ford Coppola
syn001561	factoid	who made the music for Apocalypse Now?	Francis Ford Coppola|Carmine Coppola
syn001583	factoid	What is the distribution company of Apocalypse Now?	Miramax|StudioCanal|Lions Gate Entertainment|StudioCanal UK|Paramount Pictures|United Artists
syn001590	factoid	who was the art director for Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb?	Peter Murton
syn001599	factoid	Where was Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb shot?	Shepperton Studios|London|Greenland|Iceland|Rocky Mountains|London Heathrow Airport|Banff National Park
syn001616	factoid	What is the distribution company of Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb?	Columbia Pictures
syn001656	factoid	who was the art director for The Prestige?	Kevin Kavanaugh
syn001664	factoid	What is the duration of The Prestige?	130\.0
